variant,order,runs,median_cycles_per_poly,cycles_per_coeff,stack_bytes
seq,1,11,287207,1121.902,2344
tree,1,11,299562,1170.164,2344
seq,2,11,721447,2818.152,2344
tree,2,11,651010,2543.007,3336
seq,3,11,1446967,5652.214,2344
tree,3,11,1030058,4023.664,3336
seq,4,11,2546567,9947.527,2344
tree,4,11,1547498,6044.914,4328
seq,5,11,4103047,16027.527,2344
tree,5,11,2092538,8173.976,4328
seq,6,11,6199207,24215.652,2344
tree,6,11,2692778,10518.664,4328
seq,7,11,8917847,34835.339,2344
tree,7,11,3320618,12971.164,4328
seq,8,11,12341767,48210.027,2344
tree,8,11,4114450,16072.070,5320
